nodeName	altName	nodeAttr[nodesPresent, ]
CYP24A1	CYP24A1	turquoise
ANKRD34B	ANKRD34B	turquoise
FAM163A	FAM163A	turquoise
EPHX4	EPHX4	turquoise
TRIM29	TRIM29	turquoise
SH3GL2	SH3GL2	turquoise
GLRA2	GLRA2	turquoise
KIAA0408	KIAA0408	turquoise
NEK2	NEK2	turquoise
STAT4	STAT4	turquoise
KCNB2	KCNB2	turquoise
SPTSSB	SPTSSB	turquoise
SEMA3E	SEMA3E	turquoise
HS3ST2	HS3ST2	turquoise
CCKBR	CCKBR	turquoise
SMIM17	SMIM17	turquoise
GRIN2B	GRIN2B	turquoise
SLC6A17	SLC6A17	turquoise
ADD2	ADD2	turquoise
CRYM	CRYM	turquoise
CDH18	CDH18	turquoise
GDA	GDA	turquoise
UNC5D	UNC5D	turquoise
OSTN	OSTN	turquoise
NPY2R	NPY2R	turquoise
CHRNB3	CHRNB3	turquoise
EGR1	EGR1	turquoise
DKK2	DKK2	turquoise
RBFOX1	RBFOX1	turquoise
GABRG3	GABRG3	turquoise
KCNA1	KCNA1	turquoise
FRMPD4	FRMPD4	turquoise
TDRD5	TDRD5	turquoise
MLIP	MLIP	turquoise
THEG	THEG	turquoise
FSTL5	FSTL5	turquoise
VSNL1	VSNL1	turquoise
LAMP5	LAMP5	turquoise
SULT4A1	SULT4A1	turquoise
DLX6	DLX6	turquoise
FGF9	FGF9	turquoise
PKP2	PKP2	turquoise
ADTRP	ADTRP	turquoise
NMNAT2	NMNAT2	turquoise
CHRNB2	CHRNB2	turquoise
ADAMTSL1	ADAMTSL1	turquoise
ALOX12B	ALOX12B	turquoise
NSG1	NSG1	turquoise
PLXNA4	PLXNA4	turquoise
DLEU2L	DLEU2L	turquoise
AC079341.1	AC079341.1	turquoise
LRTM2	LRTM2	turquoise
ELMOD1	ELMOD1	turquoise
NPTX1	NPTX1	turquoise
GPR21	GPR21	turquoise
KIF12	KIF12	turquoise
CDH9	CDH9	turquoise
PTPN20B	PTPN20B	turquoise
DLGAP1	DLGAP1	turquoise
SCN2A	SCN2A	turquoise
AC110781.3	AC110781.3	turquoise
ADRA1B	ADRA1B	turquoise
SLC12A5	SLC12A5	turquoise
PPL	PPL	turquoise
CXCL14	CXCL14	turquoise
CNR1	CNR1	turquoise
GFRA2	GFRA2	turquoise
VSTM5	VSTM5	turquoise
ENTPD3	ENTPD3	turquoise
GJD2	GJD2	turquoise
COL24A1	COL24A1	turquoise
KIAA1549L	KIAA1549L	turquoise
FAM153A	FAM153A	turquoise
ATOH7	ATOH7	turquoise
ASB2	ASB2	turquoise
VWDE	VWDE	turquoise
C1QTNF7	C1QTNF7	turquoise
AMPH	AMPH	turquoise
PTPRT	PTPRT	turquoise
KCNA3	KCNA3	turquoise
CACNA1G	CACNA1G	turquoise
PRSS12	PRSS12	turquoise
DYDC2	DYDC2	turquoise
LYPD6B	LYPD6B	turquoise
EPHA6	EPHA6	turquoise
DACH2	DACH2	turquoise
DLX1	DLX1	turquoise
SLC22A10	SLC22A10	turquoise
HSPB3	HSPB3	turquoise
RAB3B	RAB3B	turquoise
CACNG3	CACNG3	turquoise
CAP2	CAP2	turquoise
MARCH4	MARCH4	turquoise
LRFN2	LRFN2	turquoise
SRRM4	SRRM4	turquoise
SNAP25	SNAP25	turquoise
NPY5R	NPY5R	turquoise
MME	MME	turquoise
C18orf42	C18orf42	turquoise
FRMPD2	FRMPD2	turquoise
MPPED1	MPPED1	turquoise
IL13RA2	IL13RA2	turquoise
TMEM151B	TMEM151B	turquoise
SCN3B	SCN3B	turquoise
KIAA1524	KIAA1524	turquoise
DSC1	DSC1	turquoise
NOMO3	NOMO3	turquoise
PTPN5	PTPN5	turquoise
KCNC1	KCNC1	turquoise
CKMT1B	CKMT1B	turquoise
AC093726.4	AC093726.4	turquoise
PGM2L1	PGM2L1	turquoise
SSTR4	SSTR4	turquoise
NDST3	NDST3	turquoise
KNG1	KNG1	turquoise
CAMK4	CAMK4	turquoise
SDR16C5	SDR16C5	turquoise
PRLHR	PRLHR	turquoise
ZNF860	ZNF860	turquoise
STXBP5L	STXBP5L	turquoise
MYT1L	MYT1L	turquoise
EPHA4	EPHA4	turquoise
PTPRR	PTPRR	turquoise
FLT3	FLT3	turquoise
OR2W3	OR2W3	turquoise
NR4A3	NR4A3	turquoise
NRIP3	NRIP3	turquoise
KIAA1644	KIAA1644	turquoise
STMN2	STMN2	turquoise
RASGRP1	RASGRP1	turquoise
EGFL6	EGFL6	turquoise
THEMIS	THEMIS	turquoise
HTR6	HTR6	turquoise
KCNG3	KCNG3	turquoise
C1orf173	C1orf173	turquoise
RIMS3	RIMS3	turquoise
TENM2	TENM2	turquoise
RP11-1026M7.2	RP11-1026M7.2	turquoise
CNTN6	CNTN6	turquoise
OLFM4	OLFM4	turquoise
COL25A1	COL25A1	turquoise
KCNH7	KCNH7	turquoise
LPPR4	LPPR4	turquoise
PDGFD	PDGFD	turquoise
WNT16	WNT16	turquoise
OCA2	OCA2	turquoise
ST8SIA2	ST8SIA2	turquoise
RHOV	RHOV	turquoise
HNF4A	HNF4A	turquoise
WNT2	WNT2	turquoise
AC007375.1	AC007375.1	turquoise
C9orf129	C9orf129	turquoise
C2orf50	C2orf50	turquoise
ZCCHC12	ZCCHC12	turquoise
AGBL4	AGBL4	turquoise
PLCB1	PLCB1	turquoise
GPR88	GPR88	turquoise
TDO2	TDO2	turquoise
INSM2	INSM2	turquoise
RHO	RHO	turquoise
KCNB1	KCNB1	turquoise
PCP4	PCP4	turquoise
SLC2A13	SLC2A13	turquoise
ST8SIA3	ST8SIA3	turquoise
PCSK2	PCSK2	turquoise
PCDH11X	PCDH11X	turquoise
CHML	CHML	turquoise
FAM132B	FAM132B	turquoise
MSC	MSC	turquoise
SYNPR	SYNPR	turquoise
GPR83	GPR83	turquoise
KCNJ6	KCNJ6	turquoise
GABRA5	GABRA5	turquoise
VWC2L	VWC2L	turquoise
CYP4X1	CYP4X1	turquoise
TRH	TRH	turquoise
HAPLN1	HAPLN1	turquoise
C12orf68	C12orf68	turquoise
TAC3	TAC3	turquoise
CCNO	CCNO	turquoise
BHLHA9	BHLHA9	turquoise
GRM2	GRM2	turquoise
FAM153B	FAM153B	turquoise
TMEM130	TMEM130	turquoise
FGF7	FGF7	turquoise
RFX8	RFX8	turquoise
OVOL2	OVOL2	turquoise
LY6D	LY6D	turquoise
DGKB	DGKB	turquoise
ATRNL1	ATRNL1	turquoise
DAW1	DAW1	turquoise
ATP2B2	ATP2B2	turquoise
DRD5	DRD5	turquoise
ALG10B	ALG10B	turquoise
BHMT	BHMT	turquoise
HTR4	HTR4	turquoise
RP11-826N14.2	RP11-826N14.2	turquoise
EFCAB1	EFCAB1	turquoise
HDC	HDC	turquoise
CCDC64B	CCDC64B	turquoise
SPHKAP	SPHKAP	turquoise
OR1F1	OR1F1	turquoise
GRIN3A	GRIN3A	turquoise
CAMKV	CAMKV	turquoise
TPBGL	TPBGL	turquoise
UNC13A	UNC13A	turquoise
IL12RB2	IL12RB2	turquoise
OPN3	OPN3	turquoise
PDE6H	PDE6H	turquoise
TLL1	TLL1	turquoise
HIPK4	HIPK4	turquoise
ESRP1	ESRP1	turquoise
FRAS1	FRAS1	turquoise
CLUL1	CLUL1	turquoise
GABRB3	GABRB3	turquoise
DUSP27	DUSP27	turquoise
SLC17A8	SLC17A8	turquoise
HS6ST2	HS6ST2	turquoise
B4GALT6	B4GALT6	turquoise
