nodeName	altName	nodeAttr[nodesPresent, ]
IGFBP6	IGFBP6	black
SEMA4A	SEMA4A	black
RAB26	RAB26	black
AC110619.2	AC110619.2	black
SFRP5	SFRP5	black
P2RX5	P2RX5	black
PITPNM1	PITPNM1	black
C19orf26	C19orf26	black
RASD2	RASD2	black
PPFIA3	PPFIA3	black
GRIN2D	GRIN2D	black
SEMA6B	SEMA6B	black
CAMK2N2	CAMK2N2	black
CNTNAP1	CNTNAP1	black
CHST8	CHST8	black
CORO6	CORO6	black
NKD2	NKD2	black
C15orf27	C15orf27	black
CACNB1	CACNB1	black
BEAN1	BEAN1	black
DNAAF1	DNAAF1	black
TEX29	TEX29	black
KLHDC8A	KLHDC8A	black
CAMK2B	CAMK2B	black
NCDN	NCDN	black
NYAP1	NYAP1	black
CTXN1	CTXN1	black
RTN2	RTN2	black
GPR162	GPR162	black
ARHGEF25	ARHGEF25	black
ELFN2	ELFN2	black
PFKP	PFKP	black
MAPK13	MAPK13	black
SYT3	SYT3	black
CILP2	CILP2	black
CYGB	CYGB	black
TUBA1B	TUBA1B	black
FSCN2	FSCN2	black
SEZ6L2	SEZ6L2	black
SPTBN4	SPTBN4	black
ANKRD24	ANKRD24	black
ARHGAP24	ARHGAP24	black
KNDC1	KNDC1	black
ABCC8	ABCC8	black
TMEM74B	TMEM74B	black
VWA5B2	VWA5B2	black
PDE4A	PDE4A	black
CEND1	CEND1	black
STMN3	STMN3	black
CIT	CIT	black
DMKN	DMKN	black
C9orf172	C9orf172	black
B4GALNT3	B4GALNT3	black
SAMD14	SAMD14	black
AP3B2	AP3B2	black
PCSK1N	PCSK1N	black
SLC4A3	SLC4A3	black
EFHD2	EFHD2	black
SEPT3	SEPT3	black
