nodeName	altName	nodeAttr[nodesPresent, ]
EPHA2	EPHA2	blue
PLEKHA4	PLEKHA4	blue
TGFB1I1	TGFB1I1	blue
ECSCR	ECSCR	blue
HIC1	HIC1	blue
GBP3	GBP3	blue
ALOX15B	ALOX15B	blue
SHISA3	SHISA3	blue
FGL2	FGL2	blue
KLF4	KLF4	blue
TPM2	TPM2	blue
FOXC1	FOXC1	blue
RASL12	RASL12	blue
SGCA	SGCA	blue
RAB20	RAB20	blue
TEAD4	TEAD4	blue
BCL6B	BCL6B	blue
NOS3	NOS3	blue
FOXF1	FOXF1	blue
HILPDA	HILPDA	blue
HIST1H2BG	HIST1H2BG	blue
DUSP1	DUSP1	blue
C1R	C1R	blue
CNN2	CNN2	blue
IGF2BP2	IGF2BP2	blue
GBP1	GBP1	blue
HTRA3	HTRA3	blue
PCDHB11	PCDHB11	blue
ZNF366	ZNF366	blue
GGT5	GGT5	blue
FAM26E	FAM26E	blue
CYR61	CYR61	blue
RBPMS	RBPMS	blue
NFKB2	NFKB2	blue
EVC2	EVC2	blue
CLIC1	CLIC1	blue
CPED1	CPED1	blue
TEAD2	TEAD2	blue
TUBB6	TUBB6	blue
SEMA3F	SEMA3F	blue
TEAD3	TEAD3	blue
WNT6	WNT6	blue
IRF7	IRF7	blue
TFPI	TFPI	blue
GEM	GEM	blue
LUM	LUM	blue
F3	F3	blue
STX11	STX11	blue
STC2	STC2	blue
SLC39A12	SLC39A12	blue
PRELP	PRELP	blue
FOXL1	FOXL1	blue
BGN	BGN	blue
FXYD5	FXYD5	blue
PTGIR	PTGIR	blue
PGF	PGF	blue
ANGPTL1	ANGPTL1	blue
S100A10	S100A10	blue
C1QTNF1	C1QTNF1	blue
TBX1	TBX1	blue
NPR1	NPR1	blue
HSPB7	HSPB7	blue
FAM83G	FAM83G	blue
ITGA10	ITGA10	blue
PAPLN	PAPLN	blue
CH25H	CH25H	blue
KLF2	KLF2	blue
PLAUR	PLAUR	blue
LRRC3	LRRC3	blue
FAM110D	FAM110D	blue
TINAGL1	TINAGL1	blue
CDK2	CDK2	blue
PLP2	PLP2	blue
FMO3	FMO3	blue
CCDC80	CCDC80	blue
ANXA1	ANXA1	blue
ALDH1L1	ALDH1L1	blue
TMEM176A	TMEM176A	blue
SDS	SDS	blue
FZD2	FZD2	blue
BCL3	BCL3	blue
BMP6	BMP6	blue
THSD4	THSD4	blue
ACER2	ACER2	blue
CYSLTR2	CYSLTR2	blue
DCN	DCN	blue
PTGER4	PTGER4	blue
CISH	CISH	blue
SIX5	SIX5	blue
MEOX2	MEOX2	blue
FGL1	FGL1	blue
EMP3	EMP3	blue
C22orf34	C22orf34	blue
CCDC102A	CCDC102A	blue
TMEM213	TMEM213	blue
MRVI1	MRVI1	blue
NID1	NID1	blue
FN1	FN1	blue
PEAR1	PEAR1	blue
RANBP3L	RANBP3L	blue
ITPRIP	ITPRIP	blue
NNMT	NNMT	blue
ANG	ANG	blue
GHRHR	GHRHR	blue
MDFI	MDFI	blue
VIM	VIM	blue
LAG3	LAG3	blue
DUSP5	DUSP5	blue
VWF	VWF	blue
DLL4	DLL4	blue
NKX6-1	NKX6-1	blue
HK3	HK3	blue
EFEMP1	EFEMP1	blue
SMAD6	SMAD6	blue
DIO3	DIO3	blue
FLNA	FLNA	blue
FMO2	FMO2	blue
ANGPT1	ANGPT1	blue
PODN	PODN	blue
ID3	ID3	blue
PKN3	PKN3	blue
DARC	DARC	blue
C10orf54	C10orf54	blue
ACSL5	ACSL5	blue
PLEKHG2	PLEKHG2	blue
TGIF1	TGIF1	blue
MYOF	MYOF	blue
S1PR3	S1PR3	blue
CDC45	CDC45	blue
PLIN2	PLIN2	blue
SOCS1	SOCS1	blue
TES	TES	blue
CLIC3	CLIC3	blue
MMP2	MMP2	blue
MNDA	MNDA	blue
CASP1	CASP1	blue
CTGF	CTGF	blue
SLC2A4	SLC2A4	blue
FGR	FGR	blue
CLDN5	CLDN5	blue
ICAM2	ICAM2	blue
TBX3	TBX3	blue
ENPEP	ENPEP	blue
SFRP4	SFRP4	blue
OXTR	OXTR	blue
TNFRSF1A	TNFRSF1A	blue
MSX1	MSX1	blue
PDLIM4	PDLIM4	blue
FGFRL1	FGFRL1	blue
CDC42EP5	CDC42EP5	blue
GPNMB	GPNMB	blue
IL2RG	IL2RG	blue
ADORA2B	ADORA2B	blue
PCOLCE	PCOLCE	blue
PROCR	PROCR	blue
SMTNL2	SMTNL2	blue
CASS4	CASS4	blue
CLEC1A	CLEC1A	blue
GJA1	GJA1	blue
BMP4	BMP4	blue
PLAU	PLAU	blue
SLC44A3	SLC44A3	blue
RGL3	RGL3	blue
ADAMTS15	ADAMTS15	blue
COL4A2	COL4A2	blue
NOTCH3	NOTCH3	blue
LGR6	LGR6	blue
BACE2	BACE2	blue
PGR	PGR	blue
MTHFD2	MTHFD2	blue
ST8SIA6	ST8SIA6	blue
TNFAIP8	TNFAIP8	blue
CAV1	CAV1	blue
ANO2	ANO2	blue
MGAM	MGAM	blue
IGFBP3	IGFBP3	blue
PLSCR1	PLSCR1	blue
RFX4	RFX4	blue
MRO	MRO	blue
NDUFA4L2	NDUFA4L2	blue
IER3	IER3	blue
TNFAIP3	TNFAIP3	blue
NQO1	NQO1	blue
KCNJ16	KCNJ16	blue
CXCR7	CXCR7	blue
AJUBA	AJUBA	blue
MOCOS	MOCOS	blue
FLT1	FLT1	blue
GYPC	GYPC	blue
PPP1R18	PPP1R18	blue
LAMA5	LAMA5	blue
CSAG1	CSAG1	blue
AHNAK	AHNAK	blue
SMOC2	SMOC2	blue
MICB	MICB	blue
TFAP2A	TFAP2A	blue
PNP	PNP	blue
SRL	SRL	blue
HELZ2	HELZ2	blue
SLC26A2	SLC26A2	blue
RBPMS2	RBPMS2	blue
CRISPLD2	CRISPLD2	blue
C11orf70	C11orf70	blue
TOR4A	TOR4A	blue
JUNB	JUNB	blue
GPR126	GPR126	blue
LTBR	LTBR	blue
TBX2	TBX2	blue
HAPLN3	HAPLN3	blue
ST14	ST14	blue
CFB	CFB	blue
LGALS3	LGALS3	blue
IRAK3	IRAK3	blue
PXDC1	PXDC1	blue
PDE3A	PDE3A	blue
ACADL	ACADL	blue
SLFN13	SLFN13	blue
BCAM	BCAM	blue
APOL1	APOL1	blue
FZD7	FZD7	blue
ACVRL1	ACVRL1	blue
EYA2	EYA2	blue
B4GALT1	B4GALT1	blue
RLBP1	RLBP1	blue
ARHGEF19	ARHGEF19	blue
STARD8	STARD8	blue
FAM46C	FAM46C	blue
PARD3	PARD3	blue
PERP	PERP	blue
LAMB2	LAMB2	blue
SERPING1	SERPING1	blue
ITGA1	ITGA1	blue
BBOX1	BBOX1	blue
FAM46A	FAM46A	blue
C1orf64	C1orf64	blue
TLCD1	TLCD1	blue
SLFN12	SLFN12	blue
TDRD10	TDRD10	blue
FOLR1	FOLR1	blue
PRKCDBP	PRKCDBP	blue
FZD10	FZD10	blue
MGST1	MGST1	blue
TAGLN2	TAGLN2	blue
OLFML1	OLFML1	blue
PYGL	PYGL	blue
GDPD2	GDPD2	blue
SQRDL	SQRDL	blue
TRIM5	TRIM5	blue
FAM107A	FAM107A	blue
FOSL2	FOSL2	blue
SULT1C4	SULT1C4	blue
FBLN2	FBLN2	blue
IGFBP7	IGFBP7	blue
NEXN	NEXN	blue
AQP4	AQP4	blue
ELTD1	ELTD1	blue
TM4SF18	TM4SF18	blue
LY96	LY96	blue
YAP1	YAP1	blue
SIX4	SIX4	blue
PGM5	PGM5	blue
LRRIQ1	LRRIQ1	blue
EBF1	EBF1	blue
FAM124B	FAM124B	blue
IL15RA	IL15RA	blue
COLEC12	COLEC12	blue
C1S	C1S	blue
COL5A1	COL5A1	blue
SLC1A3	SLC1A3	blue
GRAP	GRAP	blue
MAP3K6	MAP3K6	blue
KIF5A	KIF5A	blue
TWIST1	TWIST1	blue
CRLF1	CRLF1	blue
DOCK6	DOCK6	blue
PLSCR4	PLSCR4	blue
SLCO1C1	SLCO1C1	blue
ZIC1	ZIC1	blue
GPR98	GPR98	blue
NFATC4	NFATC4	blue
FAM60A	FAM60A	blue
NPNT	NPNT	blue
KANK2	KANK2	blue
RGS16	RGS16	blue
RGS20	RGS20	blue
LHFPL1	LHFPL1	blue
EMILIN2	EMILIN2	blue
GSDMD	GSDMD	blue
LATS2	LATS2	blue
INHBE	INHBE	blue
GPC5	GPC5	blue
TMEM45A	TMEM45A	blue
WEE1	WEE1	blue
SCARA3	SCARA3	blue
CLDN10	CLDN10	blue
VEGFA	VEGFA	blue
CRABP2	CRABP2	blue
C3orf72	C3orf72	blue
GBP5	GBP5	blue
MFNG	MFNG	blue
PBXIP1	PBXIP1	blue
ZIC2	ZIC2	blue
PALLD	PALLD	blue
SLC4A4	SLC4A4	blue
FGF2	FGF2	blue
FBLN1	FBLN1	blue
IRF1	IRF1	blue
CASP7	CASP7	blue
NR2F2	NR2F2	blue
ITGA8	ITGA8	blue
PABPC4L	PABPC4L	blue
ACAN	ACAN	blue
GBP4	GBP4	blue
PPP1R3B	PPP1R3B	blue
SLC22A3	SLC22A3	blue
CARD16	CARD16	blue
LEPR	LEPR	blue
CARD6	CARD6	blue
DACT2	DACT2	blue
KLRD1	KLRD1	blue
PSTPIP2	PSTPIP2	blue
ZFP36L1	ZFP36L1	blue
CCDC8	CCDC8	blue
EMX2	EMX2	blue
PHEX	PHEX	blue
SYDE1	SYDE1	blue
BCL6	BCL6	blue
LPL	LPL	blue
PLTP	PLTP	blue
NKAIN3	NKAIN3	blue
RBMS2	RBMS2	blue
KYNU	KYNU	blue
EDN1	EDN1	blue
CCRL2	CCRL2	blue
LTBP1	LTBP1	blue
TMEM100	TMEM100	blue
SH2D4A	SH2D4A	blue
RAB13	RAB13	blue
CD109	CD109	blue
TEC	TEC	blue
AGXT2L1	AGXT2L1	blue
COL27A1	COL27A1	blue
CD34	CD34	blue
GPER	GPER	blue
SDPR	SDPR	blue
STK17B	STK17B	blue
MATN3	MATN3	blue
ETV7	ETV7	blue
DTX3L	DTX3L	blue
GATA2	GATA2	blue
PROSER2	PROSER2	blue
NAALADL1	NAALADL1	blue
NOTCH2	NOTCH2	blue
CXCL5	CXCL5	blue
BST2	BST2	blue
TRIM38	TRIM38	blue
ANXA3	ANXA3	blue
VEGFC	VEGFC	blue
P2RY14	P2RY14	blue
CEBPB	CEBPB	blue
MMRN2	MMRN2	blue
CD248	CD248	blue
C1RL	C1RL	blue
C10orf11	C10orf11	blue
NFKBIZ	NFKBIZ	blue
MERTK	MERTK	blue
CYP11A1	CYP11A1	blue
TGFBR2	TGFBR2	blue
ABCC3	ABCC3	blue
MECOM	MECOM	blue
GIMAP5	GIMAP5	blue
IL33	IL33	blue
FLT4	FLT4	blue
EYA1	EYA1	blue
HES1	HES1	blue
DMRTA1	DMRTA1	blue
EMP2	EMP2	blue
BMPR1B	BMPR1B	blue
WWTR1	WWTR1	blue
FAM129B	FAM129B	blue
MT-CO1	MT-CO1	blue
EVC	EVC	blue
ZBTB42	ZBTB42	blue
SLCO2A1	SLCO2A1	blue
CMTM3	CMTM3	blue
LOXL4	LOXL4	blue
GRAMD1C	GRAMD1C	blue
SNX33	SNX33	blue
ERBB2	ERBB2	blue
ACSS3	ACSS3	blue
VAMP5	VAMP5	blue
ASGR2	ASGR2	blue
GADD45A	GADD45A	blue
SLC43A3	SLC43A3	blue
IFI16	IFI16	blue
CDH5	CDH5	blue
UPB1	UPB1	blue
MB21D1	MB21D1	blue
COL4A3	COL4A3	blue
TBXA2R	TBXA2R	blue
FAS	FAS	blue
HYAL2	HYAL2	blue
MYD88	MYD88	blue
ECHDC3	ECHDC3	blue
LPP	LPP	blue
ITPRIPL2	ITPRIPL2	blue
SVIL	SVIL	blue
ACSM5	ACSM5	blue
FKBP10	FKBP10	blue
OAS2	OAS2	blue
STOM	STOM	blue
PAQR5	PAQR5	blue
CARD10	CARD10	blue
REL	REL	blue
APOBEC3D	APOBEC3D	blue
PARP9	PARP9	blue
SOX18	SOX18	blue
AKR1C3	AKR1C3	blue
SP100	SP100	blue
C17orf72	C17orf72	blue
TGFB2	TGFB2	blue
EDNRA	EDNRA	blue
S1PR1	S1PR1	blue
C4orf19	C4orf19	blue
BATF2	BATF2	blue
HRCT1	HRCT1	blue
NR2E1	NR2E1	blue
IL6R	IL6R	blue
ZIC5	ZIC5	blue
GIMAP7	GIMAP7	blue
MAP7D3	MAP7D3	blue
HNF4G	HNF4G	blue
GNG11	GNG11	blue
