nodeName	altName	nodeAttr[nodesPresent, ]
PTGER1	PTGER1	blue
CISH	CISH	blue
SLAMF8	SLAMF8	blue
EMP3	EMP3	blue
C22orf34	C22orf34	blue
CCDC102A	CCDC102A	blue
NID1	NID1	blue
PEAR1	PEAR1	blue
ANG	ANG	blue
MDFI	MDFI	blue
VWF	VWF	blue
TCF15	TCF15	blue
DLL4	DLL4	blue
SMAD6	SMAD6	blue
TMEM176B	TMEM176B	blue
FMO2	FMO2	blue
CDC42BPG	CDC42BPG	blue
PODN	PODN	blue
ID3	ID3	blue
PKN3	PKN3	blue
DARC	DARC	blue
ACSL5	ACSL5	blue
PLEKHG2	PLEKHG2	blue
TGIF1	TGIF1	blue
MYOF	MYOF	blue
S1PR3	S1PR3	blue
CDC45	CDC45	blue
PLIN2	PLIN2	blue
SOCS1	SOCS1	blue
TES	TES	blue
MT-ND5	MT-ND5	blue
IL4I1	IL4I1	blue
AL627309.1	AL627309.1	blue
MNDA	MNDA	blue
CASP1	CASP1	blue
MT-ND4L	MT-ND4L	blue
TCIRG1	TCIRG1	blue
SLC16A3	SLC16A3	blue
FGR	FGR	blue
RNF122	RNF122	blue
CLDN5	CLDN5	blue
ICAM2	ICAM2	blue
TBX3	TBX3	blue
MSX1	MSX1	blue
PDLIM4	PDLIM4	blue
CDC42EP5	CDC42EP5	blue
GPNMB	GPNMB	blue
IL2RG	IL2RG	blue
PCOLCE	PCOLCE	blue
SPHK1	SPHK1	blue
CLEC1A	CLEC1A	blue
PLAU	PLAU	blue
NOTCH3	NOTCH3	blue
BACE2	BACE2	blue
GIPC3	GIPC3	blue
MTHFD2	MTHFD2	blue
TNFAIP8	TNFAIP8	blue
ANO2	ANO2	blue
PLSCR1	PLSCR1	blue
MT-ATP8	MT-ATP8	blue
IER3	IER3	blue
TNFAIP3	TNFAIP3	blue
AJUBA	AJUBA	blue
MOCOS	MOCOS	blue
FLT1	FLT1	blue
ALDH3A1	ALDH3A1	blue
GYPC	GYPC	blue
PPP1R18	PPP1R18	blue
HSD3B7	HSD3B7	blue
PNP	PNP	blue
HELZ2	HELZ2	blue
PRX	PRX	blue
SLC26A2	SLC26A2	blue
RBPMS2	RBPMS2	blue
CRISPLD2	CRISPLD2	blue
TOR4A	TOR4A	blue
CFD	CFD	blue
JUNB	JUNB	blue
CXorf67	CXorf67	blue
LTBR	LTBR	blue
TBX2	TBX2	blue
HAPLN3	HAPLN3	blue
CFB	CFB	blue
IRAK3	IRAK3	blue
PXDC1	PXDC1	blue
BCAM	BCAM	blue
APOL1	APOL1	blue
ACVRL1	ACVRL1	blue
B4GALT1	B4GALT1	blue
ARHGEF19	ARHGEF19	blue
STARD8	STARD8	blue
PERP	PERP	blue
TRIM47	TRIM47	blue
SERPING1	SERPING1	blue
ITGA1	ITGA1	blue
SERINC2	SERINC2	blue
FAM46A	FAM46A	blue
C1orf64	C1orf64	blue
TDRD10	TDRD10	blue
TAGLN2	TAGLN2	blue
NLRC5	NLRC5	blue
PYGL	PYGL	blue
SQRDL	SQRDL	blue
TRIM5	TRIM5	blue
SLC4A11	SLC4A11	blue
FOSL2	FOSL2	blue
IGFBP7	IGFBP7	blue
NEXN	NEXN	blue
ELTD1	ELTD1	blue
LY96	LY96	blue
RIPK3	RIPK3	blue
IL15RA	IL15RA	blue
SERTAD1	SERTAD1	blue
COLEC12	COLEC12	blue
C1S	C1S	blue
GRAP	GRAP	blue
MAP3K6	MAP3K6	blue
FAM60A	FAM60A	blue
KANK2	KANK2	blue
RIN3	RIN3	blue
EMILIN2	EMILIN2	blue
GSDMD	GSDMD	blue
MKNK2	MKNK2	blue
CRABP2	CRABP2	blue
PTH1R	PTH1R	blue
MFNG	MFNG	blue
APOBEC3C	APOBEC3C	blue
IRF1	IRF1	blue
IKBKE	IKBKE	blue
GTSE1	GTSE1	blue
PPP1R3B	PPP1R3B	blue
ADCY10	ADCY10	blue
CARD6	CARD6	blue
PSTPIP2	PSTPIP2	blue
ZFP36L1	ZFP36L1	blue
SYDE1	SYDE1	blue
BCL6	BCL6	blue
MT-ND1	MT-ND1	blue
KYNU	KYNU	blue
EDN1	EDN1	blue
CCRL2	CCRL2	blue
LTBP1	LTBP1	blue
TMEM255B	TMEM255B	blue
SH2D4A	SH2D4A	blue
CD34	CD34	blue
GPER	GPER	blue
MSN	MSN	blue
DTX3L	DTX3L	blue
GATA2	GATA2	blue
NAALADL1	NAALADL1	blue
BST2	BST2	blue
TRIM38	TRIM38	blue
VEGFC	VEGFC	blue
