nodeName	altName	nodeAttr[nodesPresent, ]
PLK4	PLK4	pink
G3BP2	G3BP2	pink
RBM44	RBM44	pink
SSX2IP	SSX2IP	pink
MZT1	MZT1	pink
GUCY1A2	GUCY1A2	pink
HSPH1	HSPH1	pink
PRG4	PRG4	pink
DSCC1	DSCC1	pink
HFM1	HFM1	pink
EIF3CL	EIF3CL	pink
GDAP1	GDAP1	pink
CMPK2	CMPK2	pink
ARL9	ARL9	pink
C1D	C1D	pink
PPP3R1	PPP3R1	pink
RPGRIP1L	RPGRIP1L	pink
MAD2L1	MAD2L1	pink
CISD1	CISD1	pink
SPEF2	SPEF2	pink
TSTD1	TSTD1	pink
TMEM17	TMEM17	pink
SLC24A5	SLC24A5	pink
CACNA2D1	CACNA2D1	pink
MPPED2	MPPED2	pink
CBWD6	CBWD6	pink
PKIB	PKIB	pink
SLC35G1	SLC35G1	pink
SLC39A14	SLC39A14	pink
TSPYL1	TSPYL1	pink
KCNAB1	KCNAB1	pink
FGF20	FGF20	pink
DENND1B	DENND1B	pink
RAB9B	RAB9B	pink
GNG4	GNG4	pink
ACTR3B	ACTR3B	pink
