nodeName	altName	nodeAttr[nodesPresent, ]
FAM46B	FAM46B	brown
EPHA2	EPHA2	brown
MSLN	MSLN	brown
TGFB1I1	TGFB1I1	brown
DNAAF3	DNAAF3	brown
ECSCR	ECSCR	brown
GBP3	GBP3	brown
SHISA3	SHISA3	brown
FGL2	FGL2	brown
KLF4	KLF4	brown
TPM2	TPM2	brown
FOXC1	FOXC1	brown
COL13A1	COL13A1	brown
RAB20	RAB20	brown
TEAD4	TEAD4	brown
NR4A1	NR4A1	brown
BCL6B	BCL6B	brown
NOS3	NOS3	brown
FOXF1	FOXF1	brown
HILPDA	HILPDA	brown
HIST1H2BG	HIST1H2BG	brown
DUSP1	DUSP1	brown
C1R	C1R	brown
CNN2	CNN2	brown
GBP1	GBP1	brown
HTRA3	HTRA3	brown
ZNF366	ZNF366	brown
GGT5	GGT5	brown
FAM26E	FAM26E	brown
CYR61	CYR61	brown
IFI44L	IFI44L	brown
RBPMS	RBPMS	brown
PI15	PI15	brown
CLIC1	CLIC1	brown
RERG	RERG	brown
CPED1	CPED1	brown
TUBB6	TUBB6	brown
SEMA3F	SEMA3F	brown
TEAD3	TEAD3	brown
WNT6	WNT6	brown
TFPI	TFPI	brown
PHLDB2	PHLDB2	brown
GEM	GEM	brown
LUM	LUM	brown
F3	F3	brown
STX11	STX11	brown
SLC39A12	SLC39A12	brown
PRELP	PRELP	brown
FRZB	FRZB	brown
FOXL1	FOXL1	brown
BGN	BGN	brown
PTGIR	PTGIR	brown
COL15A1	COL15A1	brown
PGF	PGF	brown
ANGPTL1	ANGPTL1	brown
S100A10	S100A10	brown
C1QTNF1	C1QTNF1	brown
CABLES1	CABLES1	brown
TBX1	TBX1	brown
CPAMD8	CPAMD8	brown
NPR1	NPR1	brown
HSPB7	HSPB7	brown
HELB	HELB	brown
FAM83G	FAM83G	brown
ITGA10	ITGA10	brown
PAPLN	PAPLN	brown
CH25H	CH25H	brown
KLF2	KLF2	brown
PLAUR	PLAUR	brown
LRRC3	LRRC3	brown
TINAGL1	TINAGL1	brown
CDK2	CDK2	brown
PLP2	PLP2	brown
FMO3	FMO3	brown
CCDC80	CCDC80	brown
ANXA1	ANXA1	brown
ALDH1L1	ALDH1L1	brown
LPIN3	LPIN3	brown
BCL3	BCL3	brown
BMP6	BMP6	brown
THSD4	THSD4	brown
CYSLTR2	CYSLTR2	brown
DCN	DCN	brown
PTGER1	PTGER1	brown
PTGER4	PTGER4	brown
CISH	CISH	brown
SIX5	SIX5	brown
FGL1	FGL1	brown
TMEM213	TMEM213	brown
MRVI1	MRVI1	brown
NID1	NID1	brown
FN1	FN1	brown
PEAR1	PEAR1	brown
RANBP3L	RANBP3L	brown
ITPRIP	ITPRIP	brown
NNMT	NNMT	brown
ANG	ANG	brown
GHRHR	GHRHR	brown
ADAM33	ADAM33	brown
VIM	VIM	brown
VWF	VWF	brown
NKX6-1	NKX6-1	brown
HK3	HK3	brown
EFEMP1	EFEMP1	brown
SMAD6	SMAD6	brown
CLEC3B	CLEC3B	brown
FLNA	FLNA	brown
FMO2	FMO2	brown
ANGPT1	ANGPT1	brown
PODN	PODN	brown
ID3	ID3	brown
PKN3	PKN3	brown
DARC	DARC	brown
C10orf54	C10orf54	brown
ACSL5	ACSL5	brown
PLEKHG2	PLEKHG2	brown
SEMA3G	SEMA3G	brown
TGIF1	TGIF1	brown
MYOF	MYOF	brown
S1PR3	S1PR3	brown
PMAIP1	PMAIP1	brown
PLIN2	PLIN2	brown
TMBIM1	TMBIM1	brown
SCUBE1	SCUBE1	brown
SOCS1	SOCS1	brown
THSD7A	THSD7A	brown
TES	TES	brown
CLIC3	CLIC3	brown
AL137145.1	AL137145.1	brown
CTGF	CTGF	brown
SLC2A4	SLC2A4	brown
SLC16A3	SLC16A3	brown
FGR	FGR	brown
CLDN5	CLDN5	brown
ICAM2	ICAM2	brown
TBX3	TBX3	brown
ENPEP	ENPEP	brown
SFRP4	SFRP4	brown
