"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"turquoise","GO:0030072","peptide hormone secretion","41/1144","90/4119",0.455555555555556,1.64023892773893,3.80782863894185,0.000202978429109318,0.00822659633272471,0.00771443713853247,"ABCA12/ACVR1C/ADCYAP1/ADRA2A/CARTPT/CHRM3/CRH/CRHBP/EDN3/EFNA5/EPHA5/FFAR4/FKBP1B/GPR68/GRP/HNF4A/HTR2C/ITPR1/KCNB1/NMU/NNAT/NOS2/OXCT1/PCLO/PLCB1/PPP3CB/PRKCB/PRKCE/PTPRN2/RBP4/RIMS2/SLC16A10/SNAP25/STX1A/SYBU/TACR2/TRH/TRPA1/VGF/VIP/VSNL1",41
"turquoise","GO:0051259","protein complex oligomerization","41/1144","90/4119",0.455555555555556,1.64023892773893,3.80782863894185,0.000202978429109318,0.00822659633272471,0.00771443713853247,"ALDH1A2/ARC/ATL1/BASP1/BCL11A/CALHM1/G3BP2/GLRA3/GRIA3/GRIN2B/HCN1/HOMER1/HPRT1/ITPR1/KCNA1/KCNA2/KCNA3/KCNA4/KCNA6/KCNB1/KCNB2/KCNC1/KCNC2/KCND2/KCNF1/KCNG1/KCNG3/KCNJ12/KCNS1/KCNS2/KCNV1/KCTD16/PKD2L1/PRMT8/PRPH2/SCARA5/SGTB/SYT1/TDO2/TRPA1/VSTM5",41
"turquoise","GO:0051954","positive regulation of amine transport","14/1144","21/4119",0.666666666666667,2.40034965034965,3.98908100944037,0.000225439564590092,0.00903068953503335,0.00846847030265597,"CARTPT/CHRNB2/KCNB1/KMO/NPY2R/NTSR1/RAB3B/SLC17A8/STX1A/STXBP1/SYT1/SYT4/TACR2/TRH",14
"turquoise","GO:0051899","membrane depolarization","24/1144","45/4119",0.533333333333333,1.92027972027972,3.84882615073681,0.000242379928089457,0.00959768795710551,0.00900016938059944,"ALB/CACNA1G/CACNA2D1/CACNB2/CHRNA1/CHRNA2/CHRNB2/CHRNB3/GOT1/HCN1/HCN4/KCNQ3/MLLT11/NEDD4L/NTSR1/PTPN3/SCN1A/SCN2B/SCN3A/SCN3B/SCN4B/SCN5A/SLC8A1/YWHAH",24
"turquoise","GO:0031644","regulation of nervous system process","29/1144","58/4119",0.5,1.80026223776224,3.80576987908841,0.000248437188521432,0.00961647319613859,0.00901778511617121,"CARTPT/CBLN1/CELF4/CHRNA2/CHRNA7/CUX2/EGR2/FGF12/GRIA1/GRIK2/GRIN2A/GRIN2B/GRM1/GRP/HTR2C/IGF1/NETO1/NMU/NPY2R/NRXN1/NTSR1/RELN/RGS4/RIMS1/RIMS2/SLC8A3/STX1A/TAC1/TRPA1",29
"turquoise","GO:0050906","detection of stimulus involved in sensory perception","29/1144","58/4119",0.5,1.80026223776224,3.80576987908841,0.000248437188521432,0.00961647319613859,0.00901778511617121,"ANO1/ASIC2/ATP8A2/CACNB4/FFAR4/GRIK2/HTR2A/KCNA1/KCNK2/KIT/LHFPL5/LPO/NTSR1/OR14I1/OR1F1/OR2L13/OR2W3/PKD2L1/PPEF1/PRDM12/PRPH2/PTPRQ/RBP4/RHO/RPE65/RTP1/SCN1A/TAC1/TRPA1",29
"turquoise","GO:0051588","regulation of neurotransmitter transport","27/1144","53/4119",0.509433962264151,1.83422944979549,3.79011565952127,0.000273301658638002,0.0104613801556435,0.00981009111532195,"CACNA1B/CACNB4/CALM3/DRD1/GPR151/GPR158/KMO/MCTP1/MEF2C/MICU3/PPP3CA/PRKCB/RAB3B/RIMS1/RIMS2/RIMS3/SLC17A8/SLC4A8/STX1A/STXBP1/STXBP5/SV2B/SYNGR3/SYT1/SYT13/SYT4/TACR2",27
"turquoise","GO:0051668","localization within membrane","72/1144","182/4119",0.395604395604396,1.42438330899869,3.63098102780485,0.000289638379458179,0.0108556475038813,0.0101798127536206,"ABCA12/AKAP5/ANO1/ARHGAP44/ARL4C/CACNB2/CACNG3/CALM3/CD36/CDH13/CDK5R1/CHRDL1/CNIH3/DENND1B/DLG3/DPP10/EPHA3/FGF13/FRRS1L/GLRB/GPC6/GPR158/GRIK2/GRIN2A/GRIP1/HPCA/INPP5F/ITGA4/KCNB1/KCNB2/KCNIP4/LRRC4/LZTFL1/MOAP1/MRAP2/NDRG4/NECAB2/NETO1/NETO2/NOMO2/NOMO3/NPTX1/NRXN1/NSF/NSG1/OLFM1/PAK1/PID1/PKP2/PKP3/PRKCE/PRKG2/PRPH2/RAB6B/REEP1/RELN/RFTN1/RTP1/SCN3B/SGTB/SLC12A5/SLITRK3/STEAP2/STX1A/STXBP1/STXBP5/STXBP5L/THY1/TPBG/VWC2/ZDHHC22/ZDHHC23",72
"turquoise","GO:0051590","positive regulation of neurotransmitter transport","12/1144","17/4119",0.705882352941177,2.54154668860551,3.9490807454043,0.000289904084283623,0.0108556475038813,0.0101798127536206,"CACNA1B/GPR158/KMO/MICU3/PPP3CA/RAB3B/SLC17A8/SLC4A8/STX1A/STXBP1/SYT1/TACR2",12
"turquoise","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","21/1144","38/4119",0.552631578947368,1.98976352594774,3.80060420675062,0.000310207504479841,0.0113637293834533,0.0106562632275054,"ARC/ARHGAP44/CACNG3/CNIH3/DLG3/FRRS1L/GPC6/GRIP1/HPCA/NETO1/NETO2/NPTX1/NRG1/NSG1/NSG2/OLFM1/PPP3R1/SLC12A5/SST/SUSD4/VWC2",21
