"Gene_clean","Gene_original","Module","ENTREZID"
"CACHD1","CACHD1","blue","57685"
"CACNA1B","CACNA1B","turquoise","774"
"CACNA1E","CACNA1E","turquoise","777"
"CACNA1G","CACNA1G","turquoise","8913"
"CACNA1H","CACNA1H","grey","8912"
"CACNA1I","CACNA1I","black","8911"
"CACNA1S","CACNA1S","turquoise","779"
"CACNA2D1","CACNA2D1","turquoise","781"
"CACNA2D3","CACNA2D3","turquoise","55799"
"CACNA2D4","CACNA2D4","green","93589"
"CACNB1","CACNB1","black","782"
"CACNB2","CACNB2","turquoise","783"
"CACNB3","CACNB3","black","784"
"CACNB4","CACNB4","turquoise","785"
"CACNG2","CACNG2","black","10369"
"CACNG3","CACNG3","turquoise","10368"
"CACNG5","CACNG5","red","27091"
"CACNG6","CACNG6","grey","59285"
"CACNG8","CACNG8","black","59283"
"CADM3","CADM3","black","57863"
"CADPS","CADPS","turquoise","8618"
"CADPS2","CADPS2","turquoise","93664"
"CALB1","CALB1","turquoise","793"
"CALB2","CALB2","turquoise","794"
"CALD1","CALD1","blue","800"
"CALHM1","CALHM1","turquoise","255022"
"CALM3","CALM3","turquoise","808"
"CALML6","CALML6","brown","163688"
"CALY","CALY","black","50632"
"CAMK1D","CAMK1D","turquoise","57118"
"CAMK1G","CAMK1G","black","57172"
"CAMK2A","CAMK2A","black","815"
"CAMK2B","CAMK2B","black","816"
"CAMK2N2","CAMK2N2","black","94032"
"CAMK4","CAMK4","turquoise","814"
"CAMKK1","CAMKK1","black","84254"
"CAMKK2","CAMKK2","turquoise","10645"
"CAMKV","CAMKV","turquoise","79012"
"CAMSAP3","CAMSAP3","black","57662"
"CAP2","CAP2","turquoise","10486"
"CAPG","CAPG","green","822"
"CAPN11","CAPN11","turquoise","11131"
"CAPN12","CAPN12","grey","147968"
"CAPN13","CAPN13","yellow","92291"
"CAPN14","CAPN14","turquoise","440854"
"CAPN3","CAPN3","yellow","825"
"CAPN8","CAPN8","brown","388743"
"CAPN9","CAPN9","yellow","10753"
"CAPS","CAPS","brown","828"
"CAPSL","CAPSL","grey","133690"
"CARD10","CARD10","blue","29775"
"CARD11","CARD11","green","84433"
"CARD14","CARD14","brown","79092"
"CARD16","CARD16","blue","114769"
"CARD6","CARD6","blue","84674"
"CARD9","CARD9","brown","64170"
"CARHSP1","CARHSP1","brown","23589"
"CARNS1","CARNS1","yellow","57571"
"CARTPT","CARTPT","turquoise","9607"
"CASC1","CASC1","turquoise",NA
"CASKIN1","CASKIN1","black","57524"
"CASP1","CASP1","blue","834"
"CASP4","CASP4","blue","837"
"CASP7","CASP7","blue","840"
"CASQ2","CASQ2","blue","845"
"CASS4","CASS4","blue","57091"
"CATSPERG","CATSPERG","brown","57828"
"CAV1","CAV1","blue","857"
"CAV2","CAV2","blue","858"
"CBLN1","CBLN1","turquoise","869"
"CBLN2","CBLN2","turquoise","147381"
"CBLN4","CBLN4","turquoise","140689"
"CBR1","CBR1","yellow","873"
"CBWD3","CBWD3","turquoise",NA
"CBWD6","CBWD6","turquoise",NA
"CBX2","CBX2","brown","84733"
"CBY3","CBY3","yellow","646019"
"CCBE1","CCBE1","red","147372"
"CCDC102A","CCDC102A","blue","92922"
"CCDC11","CCDC11","brown",NA
"CCDC114","CCDC114","brown",NA
"CCDC116","CCDC116","grey","164592"
"CCDC122","CCDC122","yellow","160857"
"CCDC135","CCDC135","grey",NA
"CCDC141","CCDC141","turquoise","285025"
"CCDC144A","CCDC144A","turquoise","9720"
"CCDC144NL","CCDC144NL","turquoise","339184"
"CCDC147","CCDC147","grey",NA
"CCDC15","CCDC15","yellow","80071"
"CCDC150","CCDC150","yellow","284992"
"CCDC151","CCDC151","brown",NA
"CCDC152","CCDC152","yellow","100129792"
"CCDC154","CCDC154","brown","645811"
"CCDC158","CCDC158","turquoise","339965"
"CCDC163P","CCDC163P","brown",NA
"CCDC169","CCDC169","turquoise","728591"
"CCDC17","CCDC17","brown","149483"
"CCDC170","CCDC170","red","80129"
"CCDC173","CCDC173","brown",NA
"CCDC177","CCDC177.1","red","56936"
"CCDC177","CCDC177","turquoise","56936"
"CCDC3","CCDC3","turquoise","83643"
"CCDC36","CCDC36","brown",NA
"CCDC37","CCDC37","brown",NA
"CCDC42B","CCDC42B","yellow",NA
"CCDC64","CCDC64","black",NA
"CCDC64B","CCDC64B","turquoise",NA
"CCDC68","CCDC68","turquoise","80323"
"CCDC8","CCDC8","blue","83987"
"CCDC80","CCDC80","blue","151887"
"CCDC81","CCDC81","brown","60494"
"CCDC85A","CCDC85A","turquoise","114800"
"CCDC87","CCDC87","turquoise","55231"
"CCDC88B","CCDC88B","brown","283234"
"CCDC89","CCDC89","turquoise","220388"
"CCK","CCK","turquoise","885"
"CCKBR","CCKBR","turquoise","887"
"CCL2","CCL2","blue","6347"
"CCL3","CCL3","grey","6348"
"CCL3L1","CCL3L1","grey","6349"
"CCL4","CCL4","blue","6351"
"CCL5","CCL5","grey","6352"
"CCNA1","CCNA1","turquoise","8900"
"CCNA2","CCNA2","brown","890"
"CCNB2","CCNB2","yellow","9133"
"CCNB3","CCNB3","yellow","85417"
"CCNO","CCNO","turquoise","10309"
"CCP110","CCP110","yellow","9738"
"CCR1","CCR1","green","1230"
"CCR5","CCR5","green","1234"
"CCR6","CCR6","turquoise","1235"
"CCR7","CCR7","yellow","1236"
"CCRL2","CCRL2","blue","9034"
"CCSER1","CCSER1","turquoise","401145"
"CCT6B","CCT6B","grey","10693"
"CD109","CD109","blue","135228"
"CD14","CD14","green","929"
"CD151","CD151","blue","977"
"CD163","CD163","blue","9332"
"CD163L1","CD163L1","turquoise","283316"
"CD177","CD177","yellow","57126"
"CD180","CD180","green","4064"
"CD200R1","CD200R1","turquoise","131450"
"CD209","CD209","blue","30835"
"CD22","CD22","yellow","933"
"CD226","CD226","yellow","10666"
"CD244","CD244","grey","51744"
"CD248","CD248","blue","57124"
"CD27","CD27","yellow","939"
"CD300A","CD300A","green","11314"
"CD300C","CD300C","green","10871"
"CD300LF","CD300LF","green","146722"
"CD33","CD33","green","945"
"CD34","CD34","blue","947"
"CD36","CD36","turquoise","948"
"CD37","CD37","green","951"
"CD38","CD38","red","952"
"CD4","CD4","green","920"
"CD44","CD44","green","960"
"CD52","CD52","brown","1043"
"CD55","CD55","yellow","1604"
"CD6","CD6","turquoise","923"
"CD69","CD69","green","969"
"CD7","CD7","green","924"
"CD72","CD72","brown","971"
"CD74","CD74","green","972"
"CD82","CD82","yellow","3732"
"CD84","CD84","green","8832"
"CD86","CD86","green","942"
"CD8A","CD8A","turquoise","925"
"CD9","CD9","yellow","928"
"CD93","CD93","blue","22918"
"CD97","CD97","yellow",NA
"CDA","CDA","blue","978"
"CDC14A","CDC14A","blue","8556"
"CDC20","CDC20","yellow","991"
"CDC42BPG","CDC42BPG","green","55561"
"CDC42EP1","CDC42EP1","yellow","11135"
"CDC42EP2","CDC42EP2","yellow","10435"
"CDC42EP5","CDC42EP5","blue","148170"
"CDC45","CDC45","blue","8318"
"CDCA5","CDCA5","turquoise","113130"
"CDH1","CDH1","yellow","999"
"CDH10","CDH10","turquoise","1008"
"CDH12","CDH12","turquoise","1010"
"CDH13","CDH13","turquoise","1012"
"CDH18","CDH18","turquoise","1016"
"CDH19","CDH19","yellow","28513"
"CDH22","CDH22","black","64405"
"CDH23","CDH23","green","64072"
"CDH26","CDH26","yellow","60437"
"CDH5","CDH5","blue","1003"
"CDH7","CDH7","turquoise","1005"
"CDH8","CDH8","turquoise","1006"
"CDH9","CDH9","turquoise","1007"
"CDHR2","CDHR2","black","54825"
"CDHR5","CDHR5","yellow","53841"
"CDK1","CDK1","grey","983"
"CDK11A","CDK11A","brown","728642"
"CDK14","CDK14","turquoise","5218"
"CDK18","CDK18","yellow","5129"
"CDK2","CDK2","blue","1017"
"CDK2AP2","CDK2AP2","brown","10263"
"CDK3","CDK3","brown","1018"
"CDK5R1","CDK5R1","turquoise","8851"
"CDK5R2","CDK5R2","black","8941"
"CDKL2","CDKL2","turquoise","8999"
"CDKL5","CDKL5","red","6792"
"CDKN1A","CDKN1A","blue","1026"
"CDKN1C","CDKN1C","yellow","1028"
"CDKN2A","CDKN2A","brown","1029"
"CDKN2C","CDKN2C","brown","1031"
"CDKN3","CDKN3","turquoise","1033"
"CDNF","CDNF","yellow","441549"
"CDR1","CDR1","brown","1038"
"CDR2L","CDR2L","yellow","30850"
"CDRT4","CDRT4","yellow","284040"
"CDS1","CDS1","turquoise","1040"
"CDYL2","CDYL2","red","124359"
"CEACAM1","CEACAM1","green","634"
"CEACAM21","CEACAM21","green","90273"
"CEBPA","CEBPA","green","1050"
"CEBPB","CEBPB","blue","1051"
"CEBPD","CEBPD","blue","1052"
"CECR2","CECR2","yellow","27443"
"CECR6","CECR6","turquoise",NA
"CEL","CEL","brown","1056"
"CELA2B","CELA2B","red","51032"
"CELF2","CELF2","turquoise","10659"
"CELF3","CELF3","black","11189"
"CELF4","CELF4","turquoise","56853"
"CELF5","CELF5","turquoise","60680"
"CELSR1","CELSR1","brown","9620"
"CEND1","CEND1","black","51286"
"CENPB","CENPB","yellow","1059"
"CENPE","CENPE","grey","1062"
"CENPF","CENPF","turquoise","1063"
"CENPI","CENPI","red","2491"
"CENPK","CENPK","turquoise","64105"
"CENPM","CENPM","grey","79019"
"CERCAM","CERCAM","yellow","51148"
"CERKL","CERKL","turquoise","375298"
"CERS2","CERS2","yellow","29956"
"CES1","CES1","blue","1066"
"CES5A","CES5A","turquoise","221223"
"CETP","CETP","green","1071"
"CFB","CFB","blue","629"
"CFD","CFD","brown","1675"
"CFH","CFH","blue","3075"
"CFI","CFI","blue","3426"
"CFLAR","CFLAR","blue","8837"
"CFTR","CFTR","yellow","1080"
"CGN","CGN","brown","57530"
"CGREF1","CGREF1","turquoise","10669"
"CH25H","CH25H","blue","9023"
"CHAC1","CHAC1","black","79094"
"CHAD","CHAD","brown","1101"
"CHADL","CHADL","yellow","150356"
"CHAF1B","CHAF1B","turquoise","8208"
"CHD5","CHD5","black","26038"
"CHD7","CHD7","yellow","55636"
"CHDH","CHDH","brown","55349"
"CHGA","CHGA","black","1113"
"CHGB","CHGB","turquoise","1114"
"CHI3L1","CHI3L1","blue","1116"
"CHI3L2","CHI3L2","green","1117"
"CHL1","CHL1","turquoise","10752"
"CHML","CHML","turquoise","1122"
"CHN1","CHN1","turquoise","1123"
"CHN2","CHN2","yellow","1124"
"CHODL","CHODL","grey","140578"
"CHRDL1","CHRDL1","turquoise","91851"
"CHRFAM7A","CHRFAM7A","turquoise","89832"
"CHRM1","CHRM1","black","1128"
"CHRM2","CHRM2","turquoise","1129"
"CHRM3","CHRM3","turquoise","1131"
"CHRM4","CHRM4","red","1132"
"CHRM5","CHRM5","grey","1133"
"CHRNA1","CHRNA1","turquoise","1134"
"CHRNA10","CHRNA10","brown","57053"
"CHRNA2","CHRNA2","turquoise","1135"
"CHRNA5","CHRNA5","grey","1138"
"CHRNA7","CHRNA7","turquoise","1139"
"CHRNB2","CHRNB2","turquoise","1141"
"CHRNB3","CHRNB3","turquoise","1142"
"CHST14","CHST14","brown","113189"
"CHST3","CHST3","brown","9469"
"CHST5","CHST5","black","23563"
"CHST6","CHST6","yellow","4166"
"CHST8","CHST8","black","64377"
"CHST9","CHST9","yellow","83539"
"CHSY3","CHSY3","turquoise","337876"
"CIDEA","CIDEA","black","1149"
"CIITA","CIITA","green","4261"
"CILP","CILP","brown","8483"
"CILP2","CILP2","black","148113"
"CISD1","CISD1","turquoise","55847"
"CISH","CISH","blue","1154"
"CIT","CIT","black","11113"
"CITED1","CITED1","turquoise","4435"
"CITED2","CITED2","turquoise","10370"
"CKAP2L","CKAP2L","turquoise","150468"
"CKMT1A","CKMT1A","turquoise","548596"
"CKMT1B","CKMT1B","turquoise","1159"
"CKS2","CKS2","brown","1164"
"CLASRP","CLASRP","brown","11129"
"CLCA2","CLCA2","yellow","9635"
"CLCA4","CLCA4","yellow","22802"
"CLCF1","CLCF1","brown","23529"
"CLCNKA","CLCNKA","brown","1187"
"CLDN10","CLDN10","blue","9071"
"CLDN11","CLDN11","yellow","5010"
"CLDN15","CLDN15","brown","24146"
"CLDN16","CLDN16","turquoise","10686"
"CLDN20","CLDN20","grey","49861"
"CLDN4","CLDN4","black","1364"
"CLDN5","CLDN5","blue","7122"
"CLDN7","CLDN7","green","1366"
"CLDN9","CLDN9","brown","9080"
"CLDND1","CLDND1","yellow","56650"
"CLEC18A","CLEC18A","brown","348174"
"CLEC18B","CLEC18B","brown","497190"
"CLEC18C","CLEC18C","brown","283971"
"CLEC1A","CLEC1A","blue","51267"
"CLEC2B","CLEC2B","blue","9976"
"CLEC2L","CLEC2L","black","154790"
"CLEC3B","CLEC3B","grey","7123"
"CLEC4E","CLEC4E","blue","26253"
"CLEC4G","CLEC4G","turquoise","339390"
"CLEC5A","CLEC5A","green","23601"
"CLEC7A","CLEC7A","green","64581"
"CLEC9A","CLEC9A","green","283420"
"CLGN","CLGN","turquoise","1047"
"CLIC1","CLIC1","blue","1192"
"CLIC2","CLIC2","blue","1193"
"CLIC3","CLIC3","blue","9022"
"CLIC4","CLIC4","yellow","25932"
"CLIC5","CLIC5","red","53405"
"CLMN","CLMN","yellow","79789"
"CLMP","CLMP","red","79827"
"CLPSL1","CLPSL1","grey","340204"
"CLRN3","CLRN3","grey","119467"
"CLSPN","CLSPN","turquoise","63967"
"CLSTN2","CLSTN2","turquoise","64084"
"CLSTN3","CLSTN3","turquoise","9746"
"CLUL1","CLUL1","turquoise","27098"
"CLVS1","CLVS1","turquoise","157807"
"CLVS2","CLVS2","turquoise","134829"
"CMKLR1","CMKLR1","green","1240"
"CMPK2","CMPK2","turquoise","129607"
"CMTM3","CMTM3","blue","123920"
"CMTM5","CMTM5","yellow","116173"
"CMTM7","CMTM7","green","112616"
"CNDP1","CNDP1","yellow","84735"
"CNFN","CNFN","grey","84518"
"CNGA3","CNGA3","turquoise","1261"
"CNGB1","CNGB1","red","1258"
"CNGB3","CNGB3","turquoise","54714"
"CNIH2","CNIH2","brown","254263"
"CNIH3","CNIH3","turquoise","149111"
"CNKSR1","CNKSR1","brown","10256"
"CNKSR2","CNKSR2","turquoise","22866"
"CNKSR3","CNKSR3","yellow","154043"
"CNN1","CNN1","grey","1264"
"CNN2","CNN2","blue","1265"
"CNNM1","CNNM1","turquoise","26507"
"CNP","CNP","yellow","1267"
"CNPY1","CNPY1","yellow","285888"
"CNR1","CNR1","turquoise","1268"
"CNTD2","CNTD2","brown",NA
"CNTF","CNTF","yellow","1270"
"CNTFR","CNTFR","brown","1271"
"CNTN2","CNTN2","yellow","6900"
"CNTN3","CNTN3","turquoise","5067"
"CNTN4","CNTN4","turquoise","152330"
"CNTN5","CNTN5","turquoise","53942"
"CNTN6","CNTN6","turquoise","27255"
"CNTNAP1","CNTNAP1","black","8506"
"CNTNAP2","CNTNAP2","turquoise","26047"
"CNTNAP3","CNTNAP3","red","79937"
"CNTNAP3B","CNTNAP3B","red","728577"
"CNTNAP4","CNTNAP4","yellow","85445"
"CNTNAP5","CNTNAP5","red","129684"
"COCH","COCH","turquoise","1690"
"COL10A1","COL10A1","turquoise","1300"
"COL12A1","COL12A1","turquoise","1303"
"COL13A1","COL13A1","grey","1305"
"COL14A1","COL14A1","blue","7373"
"COL15A1","COL15A1","turquoise","1306"
"COL16A1","COL16A1","brown","1307"
"COL17A1","COL17A1","grey","1308"
"COL18A1","COL18A1","brown","80781"
"COL19A1","COL19A1","turquoise","1310"
"COL1A1","COL1A1","blue","1277"
"COL1A2","COL1A2","blue","1278"
"COL22A1","COL22A1","turquoise","169044"
"COL23A1","COL23A1","black","91522"
"COL24A1","COL24A1","turquoise","255631"
"COL25A1","COL25A1","turquoise","84570"
"COL27A1","COL27A1","blue","85301"
"COL2A1","COL2A1","grey","1280"
"COL3A1","COL3A1","blue","1281"
"COL4A1","COL4A1","blue","1282"
"COL4A2","COL4A2","blue","1284"
"COL4A3","COL4A3","blue","1285"
"COL4A5","COL4A5","yellow","1287"
"COL4A6","COL4A6","brown","1288"
"COL5A1","COL5A1","blue","1289"
"COL5A2","COL5A2","turquoise","1290"
"COL5A3","COL5A3","brown","50509"
"COL6A2","COL6A2","blue","1292"
"COL6A3","COL6A3","blue","1293"
"COL8A1","COL8A1","blue","1295"
"COL8A2","COL8A2","green","1296"
"COL9A2","COL9A2","yellow","1298"
"COL9A3","COL9A3","yellow","1299"
"COLEC11","COLEC11","grey","78989"
"COLEC12","COLEC12","blue","81035"
"CORO2A","CORO2A","turquoise","7464"
"CORO6","CORO6","black","84940"
"CORT","CORT","turquoise","1325"
"COX4I2","COX4I2","blue","84701"
"COX6A1P2","COX6A1P2","grey","285849"
"COX6A2","COX6A2","brown","1339"
"COX7A1","COX7A1","brown","1346"
"CP","CP","blue","1356"
"CPA2","CPA2","yellow","1358"
"CPA4","CPA4","grey","51200"
"CPAMD8","CPAMD8","brown","27151"
"CPB2","CPB2","yellow","1361"
"CPED1","CPED1","blue","79974"
"CPLX1","CPLX1","black","10815"
"CPLX2","CPLX2","black","10814"
"CPM","CPM","yellow","1368"
"CPNE2","CPNE2","yellow","221184"
"CPNE4","CPNE4","turquoise","131034"
"CPNE5","CPNE5","turquoise","57699"
"CPNE7","CPNE7","black","27132"
"CPNE8","CPNE8","turquoise","144402"
"CPNE9","CPNE9","black","151835"
"CPQ","CPQ","brown","10404"
"CPT1B","CPT1B","brown","1375"
"CPVL","CPVL","green","54504"
"CPXM1","CPXM1","grey","56265"
"CPXM2","CPXM2","grey","119587"
"CR1","CR1","yellow","1378"
"CR769776","CR769776.1","grey",NA
"CRABP1","CRABP1","grey","1381"
"CRABP2","CRABP2","blue","1382"
"CRB2","CRB2","brown","286204"
"CREB3L2","CREB3L2","brown","64764"
"CREB3L3","CREB3L3","grey","84699"
"CREB5","CREB5","yellow","9586"
"CREG2","CREG2","turquoise","200407"
"CRH","CRH","turquoise","1392"
"CRHBP","CRHBP","turquoise","1393"
"CRHR2","CRHR2","black","1395"
"CRISPLD1","CRISPLD1","grey","83690"
"CRISPLD2","CRISPLD2","blue","83716"
"CRLF1","CRLF1","blue","9244"
"CRYAA","CRYAA","brown","1409"
"CRYAB","CRYAB","yellow","1410"
"CRYBA2","CRYBA2","black","1412"
"CRYBB1","CRYBB1","turquoise","1414"
"CRYBB2","CRYBB2","brown","1415"
"CRYBG3","CRYBG3.1","grey","131544"
"CRYGD","CRYGD","grey","1421"
"CRYGN","CRYGN","red","155051"
"CRYM","CRYM","turquoise","1428"
"CSAG1","CSAG1","blue","158511"
"CSDC2","CSDC2","black","27254"
"CSF1","CSF1","brown","1435"
"CSF1R","CSF1R","green","1436"
"CSF2RB","CSF2RB","green","1439"
"CSF3","CSF3","blue","1440"
"CSF3R","CSF3R","green","1441"
"CSMD1","CSMD1","turquoise","64478"
"CSMD3","CSMD3","turquoise","114788"
"CSRNP3","CSRNP3","turquoise","80034"
"CSRP1","CSRP1","yellow","1465"
"CTB-50L17","CTB-50L17.14","brown",NA
"CTB-58E17","CTB-58E17.5","turquoise",NA
"CTC-203F4","CTC-203F4.1","brown",NA
"CTC-360G5","CTC-360G5.1","brown",NA
"CTD-2014B16","CTD-2014B16.3","turquoise",NA
"CTD-2192J16","CTD-2192J16.20","brown",NA
"CTD-2210P24","CTD-2210P24.4","grey",NA
"CTD-2547L24","CTD-2547L24.3","black",NA
"CTD-2616J11","CTD-2616J11.11","black",NA
"CTD-3088G3","CTD-3088G3.8","yellow",NA
"CTD-3148I10","CTD-3148I10.1","grey",NA
"CTF1","CTF1","brown","1489"
"CTGF","CTGF","blue",NA
"CTHRC1","CTHRC1","turquoise","115908"
"CTNNA3","CTNNA3","yellow","29119"
"CTRC","CTRC","brown","11330"
"CTSL2","CTSL2","yellow",NA
"CTSS","CTSS","green","1520"
"CTU1","CTU1","brown","90353"
"CTXN1","CTXN1","black","404217"
"CTXN2","CTXN2","turquoise","399697"
"CTXN3","CTXN3","turquoise","613212"
"CUEDC1","CUEDC1","yellow","404093"
"CUX2","CUX2","turquoise","23316"
"CX3CL1","CX3CL1","turquoise","6376"
"CX3CR1","CX3CR1","green","1524"
"CXCL1","CXCL1","blue","2919"
"CXCL10","CXCL10","blue","3627"
"CXCL14","CXCL14","turquoise","9547"
"CXCL16","CXCL16","green","58191"
"CXCL2","CXCL2","blue","2920"
"CXCL3","CXCL3","blue","2921"
"CXCL5","CXCL5","blue","6374"
"CXCR4","CXCR4","brown","7852"
"CXCR7","CXCR7","blue",NA
"CXorf21","CXorf21","green",NA
"CXorf28","CXorf28","yellow",NA
"CXorf30","CXorf30","grey",NA
"CXorf36","CXorf36","brown",NA
"CXorf48","CXorf48","turquoise",NA
"CXorf67","CXorf67","brown",NA
"CYB561","CYB561","turquoise","1534"
"CYB5R2","CYB5R2","yellow","51700"
"CYBA","CYBA","green","1535"
"CYBB","CYBB","green","1536"
"CYBRD1","CYBRD1","blue","79901"
"CYGB","CYGB","black","114757"
"CYP11A1","CYP11A1","blue","1583"
"CYP1A1","CYP1A1","grey","1543"
"CYP1B1","CYP1B1","blue","1545"
"CYP21A2","CYP21A2","brown","1589"
"CYP24A1","CYP24A1","turquoise","1591"
"CYP26A1","CYP26A1","turquoise","1592"
"CYP26B1","CYP26B1","turquoise","56603"
"CYP27A1","CYP27A1","yellow","1593"
"CYP27B1","CYP27B1","brown","1594"
"CYP2C8","CYP2C8","turquoise","1558"
"CYP2D6","CYP2D6","brown","1565"
"CYP2J2","CYP2J2","brown","1573"
"CYP2S1","CYP2S1","brown","29785"
"CYP39A1","CYP39A1","brown","51302"
"CYP3A43","CYP3A43","grey","64816"
"CYP3A5","CYP3A5","grey","1577"
"CYP3A7","CYP3A7","turquoise","1551"
"CYP4A11","CYP4A11","turquoise","1579"
"CYP4B1","CYP4B1","blue","1580"
"CYP4F11","CYP4F11","blue","57834"
"CYP4F12","CYP4F12","yellow","66002"
"CYP4F3","CYP4F3","yellow","4051"
"CYP4X1","CYP4X1","turquoise","260293"
"CYP4Z1","CYP4Z1","turquoise","199974"
"CYP51A1","CYP51A1","red","1595"
"CYP7B1","CYP7B1","grey","9420"
"CYR61","CYR61","blue",NA
"CYSLTR1","CYSLTR1","green","10800"
"CYSLTR2","CYSLTR2","blue","57105"
"CYTH4","CYTH4","green","27128"
"CYTIP","CYTIP","blue","9595"
"CYTL1","CYTL1","green","54360"
"CYYR1","CYYR1","blue","116159"
"DAAM2","DAAM2","yellow","23500"
"DACH1","DACH1","turquoise","1602"
"DACH2","DACH2","turquoise","117154"
"DACT2","DACT2","blue","168002"
"DAGLA","DAGLA","black","747"
"DAO","DAO","yellow","1610"
"DAPK1","DAPK1","red","1612"
"DAPK2","DAPK2","yellow","23604"
"DAPP1","DAPP1","green","27071"
"DARC","DARC","blue",NA
"DAW1","DAW1","turquoise","164781"
"DBC1","DBC1","turquoise",NA
"DBH","DBH","black","1621"
"DBNDD1","DBNDD1","black","79007"
"DBNDD2","DBNDD2","yellow","55861"
"DCAF12L2","DCAF12L2","red","340578"
"DCAF6","DCAF6","turquoise","55827"
"DCC","DCC","red","1630"
"DCDC1","DCDC1","turquoise","341019"
"DCDC2","DCDC2","turquoise","51473"
"DCDC2B","DCDC2B","red","149069"
"DCHS2","DCHS2","red","54798"
"DCLK1","DCLK1","turquoise","9201"
"DCLK3","DCLK3","turquoise","85443"
"DCN","DCN","blue","1634"
"DCST2","DCST2","brown","127579"
"DCSTAMP","DCSTAMP","grey","81501"
"DCT","DCT","turquoise","1638"
"DCX","DCX","turquoise","1641"
"DDIT4","DDIT4","brown","54541"
"DDIT4L","DDIT4L","brown","115265"
"DDN","DDN","turquoise","23109"
"DDO","DDO","yellow","8528"
"DDR1","DDR1","yellow","780"
"DDR2","DDR2","blue","4921"
"DDX11","DDX11","brown","1663"
"DDX25","DDX25","turquoise","29118"
"DDX4","DDX4","turquoise","54514"
"DDX43","DDX43","brown","55510"
"DDX6","DDX6","red","1656"
"DDX60","DDX60","blue","55601"
"DEF6","DEF6","green","50619"
"DENND1B","DENND1B","turquoise","163486"
"DENND1C","DENND1C","green","79958"
"DEPDC1","DEPDC1","turquoise","55635"
"DEPDC4","DEPDC4","turquoise","120863"
"DEPDC7","DEPDC7","yellow","91614"
"DERL3","DERL3","brown","91319"
"DES","DES","blue","1674"
"DFNB31","DFNB31","yellow",NA
"DGKB","DGKB","turquoise","1607"
"DGKH","DGKH","turquoise","160851"
"DGKI","DGKI","turquoise","9162"
"DHRS11","DHRS11","turquoise","79154"
"DHRS2","DHRS2","turquoise","10202"
"DHRS3","DHRS3","brown","9249"
"DHRS7C","DHRS7C","black","201140"
"DHRS9","DHRS9","green","10170"
"DIAPH3","DIAPH3","blue","81624"
"DIO2","DIO2","grey","1734"
"DIO3","DIO3","blue","1735"
"DIRAS1","DIRAS1","turquoise","148252"
"DIRAS2","DIRAS2","turquoise","54769"
"DIRAS3","DIRAS3","turquoise","9077"
"DIRC3","DIRC3","turquoise","729582"
"DISP2","DISP2","black","85455"
"DKFZP667F0711","DKFZP667F0711","green",NA
"DKFZP779L1853","DKFZP779L1853","grey",NA
"DKK1","DKK1","grey","22943"
"DKK2","DKK2","turquoise","27123"
"DLEC1","DLEC1","green","9940"
"DLEU2L","DLEU2L","turquoise","79469"
"DLG3","DLG3","turquoise","1741"
"DLGAP1","DLGAP1","turquoise","9229"
"DLGAP2","DLGAP2","turquoise","9228"
"DLGAP3","DLGAP3","black","58512"
"DLL1","DLL1","yellow","28514"
"DLL4","DLL4","blue","54567"
"DLX1","DLX1","turquoise","1745"
"DLX2","DLX2","turquoise","1746"
"DLX5","DLX5","turquoise","1749"
"DLX6","DLX6","turquoise","1750"
"DMBT1","DMBT1","yellow","1755"
"DMKN","DMKN","black","93099"
"DMRT2","DMRT2","yellow","10655"
"DMRT3","DMRT3","turquoise","58524"
"DMRTA1","DMRTA1","blue","63951"
"DMRTA2","DMRTA2","yellow","63950"
"DMXL2","DMXL2","turquoise","23312"
"DNAAF1","DNAAF1","black","123872"
"DNAAF3","DNAAF3","green","352909"
"DNAH10","DNAH10","red","196385"
"DNAH11","DNAH11","brown","8701"
"DNAH12","DNAH12","yellow","201625"
"DNAH14","DNAH14","turquoise","127602"
"DNAH17","DNAH17","yellow","8632"
"DNAH2","DNAH2","red","146754"
"DNAH5","DNAH5","turquoise","1767"
"DNAH7","DNAH7","grey","56171"
"DNAH8","DNAH8","turquoise","1769"
"DNAH9","DNAH9","turquoise","1770"
"DNAI1","DNAI1","brown","27019"
"DNAJB1","DNAJB1","brown","3337"
"DNAJB13","DNAJB13","grey","374407"
"DNAJC22","DNAJC22","yellow","79962"
"DNAJC5G","DNAJC5G","turquoise","285126"
"DNAJC9-AS1","DNAJC9-AS1","grey","414245"
"DNAL1","DNAL1","red","83544"
"DNASE1L2","DNASE1L2","brown","1775"
"DNHD1","DNHD1","brown","144132"
"DNM1","DNM1","black","1759"
"DOC2A","DOC2A","turquoise","8448"
"DOC2B","DOC2B","red","8447"
"DOCK1","DOCK1","brown","1793"
"DOCK10","DOCK10","yellow","55619"
"DOCK2","DOCK2","green","1794"
"DOCK5","DOCK5","yellow","80005"
"DOCK6","DOCK6","blue","57572"
"DOCK8","DOCK8","green","81704"
"DOHH","DOHH","yellow","83475"
"DOK1","DOK1","brown","1796"
"DOK3","DOK3","brown","79930"
"DOK6","DOK6","turquoise","220164"
"DOK7","DOK7","brown","285489"
"DPEP2","DPEP2","brown","64174"
"DPP10","DPP10","turquoise","57628"
"DPP4","DPP4","turquoise","1803"
"DPT","DPT","turquoise","1805"
"DPY19L2","DPY19L2","turquoise","283417"
"DPYS","DPYS","turquoise","1807"
"DPYSL5","DPYSL5","yellow","56896"
