"Gene_clean","Gene_original","Module","ENTREZID"
"ADPRH","ADPRH","blue","141"
"ADRA1A","ADRA1A","red","148"
"ADRA1B","ADRA1B","turquoise","147"
"ADRA1D","ADRA1D","turquoise","146"
"ADRA2A","ADRA2A","turquoise","150"
"ADRA2B","ADRA2B","brown","151"
"ADRB1","ADRB1","grey","153"
"ADRB2","ADRB2","blue","154"
"ADTRP","ADTRP","turquoise","84830"
"AEBP1","AEBP1","blue","165"
"AFAP1L1","AFAP1L1","blue","134265"
"AFF2","AFF2","turquoise","2334"
"AFP","AFP","turquoise","174"
"AGAP10","AGAP10","grey",NA
"AGAP2","AGAP2","black","116986"
"AGAP4","AGAP4","grey","119016"
"AGAP8","AGAP8","grey",NA
"AGAP9","AGAP9","grey","642517"
"AGBL2","AGBL2","brown","79841"
"AGBL4","AGBL4","turquoise","84871"
"AGER","AGER","brown","177"
"AGMAT","AGMAT","turquoise","79814"
"AGMO","AGMO","yellow","392636"
"AGPAT9","AGPAT9","turquoise",NA
"AGT","AGT","brown","183"
"AGTRAP","AGTRAP","brown","57085"
"AGXT2L1","AGXT2L1","blue",NA
"AHNAK","AHNAK","blue","79026"
"AHNAK2","AHNAK2","red","113146"
"AHRR","AHRR","turquoise","57491"
"AHSA2","AHSA2","brown",NA
"AIF1","AIF1","green","199"
"AIF1L","AIF1L","yellow","83543"
"AIRE","AIRE","brown","326"
"AJUBA","AJUBA","blue","84962"
"AK7","AK7","turquoise","122481"
"AKAP12","AKAP12","turquoise","9590"
"AKAP14","AKAP14","grey","158798"
"AKAP3","AKAP3","yellow","10566"
"AKAP5","AKAP5","turquoise","9495"
"AKNAD1","AKNAD1","yellow","254268"
"AKR1C2","AKR1C2","grey","1646"
"AKR1C3","AKR1C3","blue","8644"
"AL020996","AL020996.1","red",NA
"AL031663","AL031663.2","brown",NA
"AL049840","AL049840.1","brown",NA
"AL078585","AL078585.1","yellow",NA
"AL117190","AL117190.2","black",NA
"AL117190","AL117190.3","brown",NA
"AL133216","AL133216.1","yellow",NA
"AL137145","AL137145.1","brown",NA
"AL138781","AL138781.1","brown",NA
"AL355312","AL355312.1","brown",NA
"AL359091","AL359091.2","brown",NA
"AL359878","AL359878.1","red",NA
"AL450307","AL450307.1","turquoise",NA
"AL589739","AL589739.1","brown",NA
"AL590822","AL590822.1","grey",NA
"AL627309","AL627309.1","green",NA
"AL807752","AL807752.1","turquoise",NA
"AL953854","AL953854.2","grey",NA
"ALB","ALB","turquoise","213"
"ALDH16A1","ALDH16A1","brown","126133"
"ALDH1A2","ALDH1A2","turquoise","8854"
"ALDH1L1","ALDH1L1","blue","10840"
"ALDH3A1","ALDH3A1","brown","218"
"ALDH3B1","ALDH3B1","brown","221"
"ALDH4A1","ALDH4A1","brown","8659"
"ALDOB","ALDOB","grey","229"
"ALG10B","ALG10B","turquoise","144245"
"ALG11","ALG11","red","440138"
"ALG1L","ALG1L","grey",NA
"ALLC","ALLC","grey","55821"
"ALOX12B","ALOX12B","turquoise","242"
"ALOX15","ALOX15","grey","246"
"ALOX15B","ALOX15B","blue","247"
"ALOX5","ALOX5","green","240"
"ALOX5AP","ALOX5AP","green","241"
"ALOXE3","ALOXE3","black","59344"
"ALPK1","ALPK1","green","80216"
"ALX4","ALX4","blue","60529"
"AMDHD1","AMDHD1","turquoise","144193"
"AMER2","AMER2","yellow","219287"
"AMER3","AMER3","black","205147"
"AMH","AMH","brown","268"
"AMICA1","AMICA1","blue",NA
"AMIGO1","AMIGO1","turquoise","57463"
"AMIGO2","AMIGO2","turquoise","347902"
"AMN","AMN","brown","81693"
"AMPH","AMPH","turquoise","273"
"AMY2A","AMY2A","turquoise","279"
"ANG","ANG","blue","283"
"ANGPT1","ANGPT1","blue","284"
"ANGPT2","ANGPT2","blue","285"
"ANGPTL1","ANGPTL1","blue","9068"
"ANGPTL2","ANGPTL2","yellow","23452"
"ANGPTL4","ANGPTL4","blue","51129"
"ANK1","ANK1","black","286"
"ANKFN1","ANKFN1","blue","162282"
"ANKK1","ANKK1","yellow","255239"
"ANKRD18A","ANKRD18A","yellow","253650"
"ANKRD18B","ANKRD18B","brown","441459"
"ANKRD2","ANKRD2","grey","26287"
"ANKRD20A3","ANKRD20A3","grey",NA
"ANKRD20A4","ANKRD20A4","grey",NA
"ANKRD23","ANKRD23","brown","200539"
"ANKRD24","ANKRD24","black","170961"
"ANKRD30B","ANKRD30B","turquoise","374860"
"ANKRD30BL","ANKRD30BL","turquoise","554226"
"ANKRD31","ANKRD31","turquoise","256006"
"ANKRD33B","ANKRD33B","red","651746"
"ANKRD34B","ANKRD34B","turquoise","340120"
"ANKRD34C","ANKRD34C","turquoise","390616"
"ANKRD36C","ANKRD36C","turquoise","400986"
"ANKRD37","ANKRD37","blue","353322"
"ANKRD40","ANKRD40","yellow","91369"
"ANKRD44","ANKRD44","yellow","91526"
"ANKRD45","ANKRD45","red","339416"
"ANKRD55","ANKRD55","turquoise","79722"
"ANKRD9","ANKRD9","brown","122416"
"ANLN","ANLN","yellow","54443"
"ANO1","ANO1","turquoise","55107"
"ANO2","ANO2","blue","57101"
"ANO3","ANO3","turquoise","63982"
"ANO5","ANO5","turquoise","203859"
"ANO6","ANO6","blue","196527"
"ANO7","ANO7","yellow","50636"
"ANP32B","ANP32B","brown","10541"
"ANPEP","ANPEP","blue","290"
"ANXA1","ANXA1","blue","301"
"ANXA2","ANXA2","blue","302"
"ANXA2R","ANXA2R","brown","389289"
"ANXA3","ANXA3","blue","306"
"ANXA6","ANXA6","turquoise","309"
"ANXA9","ANXA9","yellow","8416"
"AOAH","AOAH","green","313"
"AOC3","AOC3","blue","8639"
"AOX1","AOX1","yellow","316"
"AP000322","AP000322.53","red",NA
"AP000350","AP000350.4","brown",NA
"AP000769","AP000769.1","brown",NA
"AP001055","AP001055.1","brown",NA
"AP001468","AP001468.1","yellow",NA
"AP003068","AP003068.23","grey",NA
"AP1M2","AP1M2","turquoise","10053"
"AP1S3","AP1S3","turquoise","130340"
"AP3B2","AP3B2","black","8120"
"APBB1IP","APBB1IP","green","54518"
"APLN","APLN","brown","8862"
"APLNR","APLNR","green","187"
"APOA1","APOA1","brown","335"
"APOB","APOB","grey","338"
"APOBEC3C","APOBEC3C","green","27350"
"APOBEC3D","APOBEC3D","blue","140564"
"APOBEC3F","APOBEC3F","blue","200316"
"APOBEC3G","APOBEC3G","green","60489"
"APOBR","APOBR","brown","55911"
"APOC1","APOC1","green","341"
"APOC2","APOC2","green","344"
"APOC4","APOC4","green","346"
"APOD","APOD","brown","347"
"APOE","APOE","brown","348"
"APOL1","APOL1","blue","8542"
"APOL3","APOL3","blue","80833"
"APOL4","APOL4","blue","80832"
"APOL6","APOL6","green","80830"
"APOLD1","APOLD1","blue","81575"
"APOOL","APOOL","red","139322"
"AQP1","AQP1","yellow","358"
"AQP3","AQP3","grey","360"
"AQP4","AQP4","blue","361"
"AQP6","AQP6","yellow","363"
"AQP7","AQP7","turquoise","364"
"AQP8","AQP8","brown","343"
"AQP9","AQP9","turquoise","366"
"AQPEP","AQPEP","grey",NA
"ARAP1","ARAP1","brown","116985"
"ARC","ARC","turquoise","23237"
"ARG1","ARG1","turquoise","383"
"ARHGAP10","ARHGAP10","blue","79658"
"ARHGAP11B","ARHGAP11B","yellow","89839"
"ARHGAP15","ARHGAP15","green","55843"
"ARHGAP17","ARHGAP17","brown","55114"
"ARHGAP20","ARHGAP20","turquoise","57569"
"ARHGAP22","ARHGAP22","yellow","58504"
"ARHGAP23","ARHGAP23","yellow","57636"
"ARHGAP24","ARHGAP24","black","83478"
"ARHGAP26","ARHGAP26","turquoise","23092"
"ARHGAP28","ARHGAP28","turquoise","79822"
"ARHGAP29","ARHGAP29","blue","9411"
"ARHGAP30","ARHGAP30","green","257106"
"ARHGAP31","ARHGAP31","blue","57514"
"ARHGAP36","ARHGAP36","turquoise","158763"
"ARHGAP42","ARHGAP42","blue","143872"
"ARHGAP44","ARHGAP44","turquoise","9912"
"ARHGDIB","ARHGDIB","green","397"
"ARHGEF1","ARHGEF1","brown","9138"
"ARHGEF19","ARHGEF19","blue","128272"
"ARHGEF25","ARHGEF25","black","115557"
"ARHGEF28","ARHGEF28","turquoise","64283"
"ARHGEF3","ARHGEF3","turquoise","50650"
"ARHGEF37","ARHGEF37","yellow","389337"
"ARHGEF5","ARHGEF5","blue","7984"
"ARHGEF9","ARHGEF9","turquoise","23229"
"ARID3C","ARID3C","grey","138715"
"ARID5A","ARID5A","blue","10865"
"ARL11","ARL11","green","115761"
"ARL4C","ARL4C","turquoise","10123"
"ARL4D","ARL4D","turquoise","379"
"ARL5C","ARL5C","red","390790"
"ARL6IP4","ARL6IP4","brown","51329"
"ARL9","ARL9","turquoise","132946"
"ARMC12","ARMC12","brown","221481"
"ARMC3","ARMC3","grey","219681"
"ARMC4","ARMC4","grey",NA
"ARNTL2","ARNTL2","turquoise",NA
"ARPC1B","ARPC1B","blue","10095"
"ARPP21","ARPP21","turquoise","10777"
"ARRDC2","ARRDC2","yellow","27106"
"ARRDC3","ARRDC3","blue","57561"
"ARRDC4","ARRDC4","yellow","91947"
"ARSF","ARSF","grey","416"
"ARSI","ARSI","brown","340075"
"ART3","ART3","yellow","419"
"ARTN","ARTN","blue","9048"
"ASAH2","ASAH2","turquoise","56624"
"ASAH2B","ASAH2B","turquoise","653308"
"ASAP2","ASAP2","red","8853"
"ASB16","ASB16","brown","92591"
"ASB2","ASB2","turquoise","51676"
"ASB4","ASB4","brown","51666"
"ASB5","ASB5","turquoise","140458"
"ASCL2","ASCL2","brown","430"
"ASCL5","ASCL5","red","647219"
"ASGR1","ASGR1","brown","432"
"ASGR2","ASGR2","blue","433"
"ASIC2","ASIC2","turquoise","40"
"ASIC3","ASIC3","brown","9311"
"ASPA","ASPA","yellow","443"
"ASPG","ASPG","red","374569"
"ASPM","ASPM","turquoise","259266"
"ASPN","ASPN","blue","54829"
"ASPRV1","ASPRV1","brown","151516"
"ATAD3C","ATAD3C","brown","219293"
"ATCAY","ATCAY","turquoise","85300"
"ATF3","ATF3","brown","467"
"ATG9B","ATG9B","grey","285973"
"ATHL1","ATHL1","brown",NA
"ATL1","ATL1","turquoise","51062"
"ATOH7","ATOH7","turquoise","220202"
"ATOH8","ATOH8","brown","84913"
"ATP10B","ATP10B","yellow","23120"
"ATP11A","ATP11A","yellow","23250"
"ATP11C","ATP11C","brown","286410"
"ATP13A4","ATP13A4","grey","84239"
"ATP1A2","ATP1A2","blue","477"
"ATP1A3","ATP1A3","black","478"
"ATP1A4","ATP1A4","red","480"
"ATP1B2","ATP1B2","blue","482"
"ATP2A1","ATP2A1","brown","487"
